year,month,day,exercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2022,2,24,Sumo DL,6.0,110.0,5,110.0,5.0,110.0,5,110.0
2022,2,26, band Triceps pushdowns,16.0,0.0,15,0.0,14.0,0.0,0,0.0
2022,2,26,Axelpress,6.0,22.0,6,22.0,4.0,22.0,6,19.5
2022,2,26,decline press,11.0,0.0,9,0.0,8.0,0.0,0,0.0
2022,2,26,lat pulldown,12.0,60.0,9,60.0,8.0,60.0,0,0.0
2022,2,26,ring Rows,11.0,0.0,11,0.0,9.0,0.0,0,0.0
2022,2,26,Weighted Pull ups,5.0,16.25,5,15.0,4.0,12.5,5,10.0
2022,2,28,Barbell hacksquat,5.0,110.0,4,110.0,4.0,105.0,4,105.0
2022,2,28,Rdls,14.0,95.0,12,95.0,12.0,95.0,0,0.0
2022,2,28,reverse nordics,14.0,0.0,12,0.0,20.0,0.0,0,0.0
2022,2,28,single leg machine curls,11.0,5.0,9,5.0,8.0,5.0,0,0.0
2022,3,2,Barbell curls,10.0,42.5,8,42.5,7.0,42.5,0,0.0
2022,3,2,decline push ups,9.0,0.0,7,0.0,6.0,0.0,6,0.0
2022,3,2,Ring push ups,6.0,5.0,5,5.0,5.0,5.0,5,0.0
2022,3,2,side lateral,21.0,0.0,21,0.0,20.0,0.0,0,0.0
2022,3,2,straight arm pulldown,16.0,20.0,14,20.0,12.0,20.0,0,0.0
2022,3,2,wide row,12.0,55.0,11,55.0,10.0,55.0,0,0.0
2022,3,4,ATG split squat,5.0,34.0,7,29.0,7.0,29.0,0,0.0
2022,3,4,Sumo DL,5.0,112.5,5,112.5,5.0,112.5,5,110.0
2022,3,6, band Triceps pushdowns,16.0,0.0,15,0.0,15.0,0.0,0,0.0
2022,3,6,Axelpress,6.0,22.0,5,22.0,7.0,19.5,6,19.5
2022,3,6,decline press,11.0,0.0,10,0.0,8.0,0.0,0,0.0
2022,3,6,lat pulldown,10.0,65.0,8,65.0,7.0,65.0,0,0.0
2022,3,6,ring Rows,11.0,0.0,11,0.0,11.0,0.0,0,0.0
2022,3,6,Weighted Pull ups,5.0,16.25,5,13.75,4.0,12.5,5,10.0
2022,3,8,Barbell hacksquat,5.0,110.0,5,110.0,5.0,110.0,5,110.0
2022,3,8,Rdls,12.0,100.0,11,100.0,11.0,100.0,0,0.0
2022,3,8,reverse nordics,16.0,0.0,14,0.0,12.0,0.0,0,0.0
2022,3,8,single leg machine curls,11.0,5.0,9,5.0,8.0,5.0,0,0.0
2022,3,10,Barbell curls,9.0,45.0,7,45.0,6.0,45.0,0,0.0
2022,3,10,decline push ups,9.0,0.0,7,0.0,6.0,0.0,6,0.0
2022,3,10,Ring push ups,5.0,10.0,5,10.0,5.0,7.5,5,5.0
2022,3,10,side lateral,20.0,0.0,20,0.0,18.0,0.0,0,0.0
2022,3,10,straight arm pulldown,10.0,0.0,10,0.0,9.0,0.0,0,0.0
2022,3,10,wide row,14.0,55.0,12,55.0,12.0,55.0,0,0.0
2022,3,12,ATG split squat,6.0,34.0,6,31.5,6.0,31.5,0,0.0
2022,3,12,leg curls,10.0,5.0,9,5.0,8.0,5.0,0,0.0
2022,3,12,Sissy squats,12.0,0.0,11,0.0,10.0,0.0,0,0.0
2022,3,12,Sumo DL,5.0,112.5,5,112.5,5.0,112.5,5,112.5
2022,3,14, band Triceps pushdowns,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2022,3,14,Axelpress,8.0,0.0,7,0.0,7.0,0.0,7,0.0
2022,3,14,decline press,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2022,3,14,lat pulldown,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2022,3,14,ring Rows,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2022,3,14,Weighted Pull ups,12.0,0.0,8,0.0,6.0,0.0,6,0.0
2022,3,17,Barbell hacksquat,5.0,112.5,5,112.5,5.0,110.0,5,110.0
2022,3,17,Rdls,13.0,100.0,12,100.0,12.0,100.0,0,0.0
2022,3,17,reverse nordics,14.0,0.0,14,0.0,12.0,0.0,0,0.0
2022,3,17,single leg machine curls,11.0,5.0,9,5.0,6.0,5.0,0,0.0
2022,3,20,Barbell curls,9.0,45.0,7,45.0,7.0,45.0,0,0.0
2022,3,20,decline push ups,9.0,0.0,7,0.0,6.0,0.0,6,0.0
2022,3,20,inverted delt row,16.0,5.0,12,7.0,12.0,7.0,0,0.0
2022,3,20,Ring push ups,5.0,10.0,5,10.0,4.0,7.5,5,5.0
2022,3,20,side lateral,20.0,0.0,16,0.0,16.0,0.0,0,0.0
2022,3,20,straight arm pulldown,8.0,25.0,14,20.0,12.0,20.0,0,0.0
2022,3,22,ATG split squat,6.0,31.5,6,31.5,5.0,31.5,0,0.0
2022,3,22,leg curls,10.0,5.0,9,5.0,8.0,5.0,0,0.0
2022,3,22,Regular DL,5.0,90.0,5,100.0,5.0,100.0,5,100.0
