effektivitet,djup,ISO8601,kvalitet,sover,vaken
"97,5",03:15:23,2022-05-29 00:00:00,06:22:48,08:31:00,00:13:00
"86,5",02:43:49,2022-05-30 00:00:00,04:46:39,06:57:00,01:05:00
"96,7",03:05:12,2022-05-31 00:00:00,05:40:25,07:43:00,00:16:00
"88,3",01:57:55,2022-06-01 00:00:00,04:09:47,05:39:00,00:45:00
"98,0",03:42:39,2022-06-02 00:00:00,06:34:14,08:13:00,00:10:00
"93,9",02:14:44,2022-06-03 00:00:00,05:29:42,08:14:00,00:32:00
"86,5",02:16:48,2022-06-04 00:00:00,05:40:17,07:36:00,01:11:00
"90,9",03:14:36,2022-06-05 00:00:00,05:43:02,07:59:00,00:48:00
"73,7",00:45:25,2022-06-06 00:00:00,04:15:25,05:33:00,01:59:00
"91,0",02:36:09,2022-06-07 00:00:00,05:39:20,06:46:00,00:40:00
"86,4",00:00:00,2022-06-08 00:00:00,04:14:31,05:57:00,00:56:00
"96,7",03:01:14,2022-06-09 00:00:00,05:44:28,07:18:00,00:15:00
"89,8",02:51:21,2022-06-10 00:00:00,05:13:20,06:45:00,00:46:00
"100,0",03:04:08,2022-06-11 00:00:00,05:42:56,07:25:00,00:00:00
"99,8",03:20:38,2022-06-12 00:00:00,06:14:05,07:43:00,00:01:00
"90,2",01:50:28,2022-06-13 00:00:00,05:52:21,08:25:00,00:55:00
"96,9",03:19:02,2022-06-14 00:00:00,05:25:34,07:24:00,00:14:00
"100,0",03:13:31,2022-06-15 00:00:00,05:49:36,08:41:00,00:00:00
"95,2",02:37:30,2022-06-16 00:00:00,05:33:35,07:21:00,00:22:00
"89,7",03:19:56,2022-06-17 00:00:00,06:03:09,07:26:00,00:51:00
"91,4",03:18:15,2022-06-18 00:00:00,06:20:17,08:08:00,00:46:00
"94,0",02:16:44,2022-06-19 00:00:00,04:53:37,06:35:00,00:25:00
"100,0",03:04:30,2022-06-20 00:00:00,06:40:00,08:12:00,00:00:00
"95,7",03:22:30,2022-06-21 00:00:00,05:39:26,06:45:00,00:18:00
"100,0",02:45:58,2022-06-22 00:00:00,06:01:21,08:33:00,00:00:00
"89,6",03:27:22,2022-06-23 00:00:00,05:47:29,07:54:00,00:55:00
"91,3",01:32:05,2022-06-24 00:00:00,04:16:30,06:39:00,00:38:00
"97,3",02:50:30,2022-06-25 00:00:00,06:02:33,07:45:00,00:13:00
"88,7",03:08:24,2022-06-26 00:00:00,05:55:30,07:51:00,01:00:00
"93,8",03:17:19,2022-06-27 00:00:00,05:40:28,07:05:00,00:28:00
"92,8",03:18:33,2022-06-28 00:00:00,06:37:34,08:24:00,00:39:00
"97,4",03:01:20,2022-06-29 00:00:00,05:09:22,06:48:00,00:11:00
"97,9",01:46:35,2022-06-30 00:00:00,05:25:07,07:52:00,00:10:00
"97,9",03:35:25,2022-07-01 00:00:00,06:38:23,07:57:00,00:10:00
"96,6",02:51:02,2022-07-02 00:00:00,05:55:05,08:02:00,00:17:00
"90,9",02:01:29,2022-07-03 00:00:00,04:50:15,06:50:00,00:41:00
"98,3",03:40:44,2022-07-04 00:00:00,06:25:39,07:53:00,00:08:00
"69,4",00:14:36,2022-07-05 00:00:00,05:44:12,08:42:00,03:18:00
"95,5",02:30:00,2022-07-06 00:00:00,05:25:07,07:30:00,00:21:00
"100,0",03:06:40,2022-07-07 00:00:00,05:19:46,07:00:00,00:00:00
"100,0",02:48:20,2022-07-08 00:00:00,06:27:08,08:25:00,00:00:00
"100,0",03:46:13,2022-07-09 00:00:00,07:07:38,09:18:00,00:00:00
"94,7",04:41:15,2022-07-10 00:00:00,06:55:21,08:20:00,00:28:00
"97,1",02:48:56,2022-07-11 00:00:00,05:26:28,07:10:00,00:13:00
"91,5",02:15:18,2022-07-12 00:00:00,05:10:32,07:31:00,00:42:00
"93,7",04:53:04,2022-07-13 00:00:00,06:52:49,08:29:00,00:34:00
"100,0",03:19:50,2022-07-14 00:00:00,06:55:37,08:58:00,00:00:00
"100,0",02:29:41,2022-07-15 00:00:00,05:59:24,07:59:00,00:00:00
"89,9",03:21:00,2022-07-16 00:00:00,04:58:34,06:42:00,00:45:00
"89,0",02:36:46,2022-07-17 00:00:00,06:12:52,08:06:00,01:00:00
"100,0",03:30:25,2022-07-18 00:00:00,06:39:46,08:16:00,00:00:00
"84,6",02:42:15,2022-07-19 00:00:00,04:37:39,06:53:00,01:15:00
